Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude,Known_For2,Price_range
Mughal Darbar,"North Indian, Mughlai",650," Punjabi Bagh, New Delhi",4.0,329,4.1,2220,https://www.zomato.com/ncr/mughal-darbar-punjabi-bagh-new-delhi,"21, NWA, Club Road, Punjabi Bagh Extension, Punjabi Bagh, New Delhi",9.11125E+11,28.66660414,77.12191891,"Naga Pork Thali, Pork Rib, Chicken Dry Fry, Pork Fry, Pork Chilli, Chicken Thali",Medium(600-100)
Bamboo Hut,Naga,600," Mukherjee Nagar, New Delhi",4.0,290,4.1,2716,https://www.zomato.com/ncr/bamboo-hut-mukherjee-nagar-new-delhi,"House 5, Gate 1, Indra Vihar, Mukherjee Nagar, New Delhi",9.19871E+11,28.70533489,77.21210416,"Variety of Pizza, Beautiful Ambience, View, Beautiful Place, Outdoor Seating, Weekend Brunch",Low(<600)
Choko La,"Bakery, Desserts",400," Khan Market, New Delhi",4.0,435,4.5,158,https://www.zomato.com/ncr/choko-la-1-khan-market-new-delhi,"67-A, Khan Market, New Delhi",9.11142E+11,28.60006248,77.22655691,"Deluxe Veggie Pizza, Capsicum Pizza, Stuffed Garlic Bread, Paneer Pizza, Mixed Sauce Pasta, Pizzas",Low(<600)
Pizza81,"Pizza, Fast Food",500," Preet Vihar, New Delhi",4.0,443,3.9,7264,https://www.zomato.com/ncr/pizza81-1-preet-vihar-new-delhi,"Shop 9, DDA Market, Swasthya Vihar, Preet Vihar, New Delhi",9.17292E+11,28.64043651,77.28996299,"Hazelnut Brownie, Vegetable Dimsums, Meal Box, Quick Meal, Hakka Noodles",Low(<600)
Wok To Walk,"Chinese, Asian, Beverages",500," Defence Colony Main Market, Defence Colony, New Delhi",4.0,595,3.9,2171,https://www.zomato.com/ncr/wok-to-walk-defence-colony-new-delhi,"Shop 30, Main Market, Defence Colony, New Delhi",9.19774E+11,28.57397101,77.23028921,"Veg Galauti, Mutton Galouti Kabab, Dahi Kabab, Paneer Lababdar, Paneer Tikka, Dal Makhni",Low(<600)
Kasbah Forum,"North Indian, Mughlai",2400," Greater Kailash 2 (GK2), New Delhi",4.0,102,3.9,20,https://www.zomato.com/ncr/kasbah-forum-greater-kailash-gk-2-new-delhi,"M 74, Ground Floor, M Block, Greater Kailash 2 (GK 2), New Delhi",9.11142E+11,28.53289514,77.24319097,"Spicy Vada Pav, Vada Pao, Pao Bhaji, Pulao, Dosa, Salad",High(>1000)
Jhakkas Pav Bhaji Mumbai Wala,"Street Food, South Indian",300," Rohini, New Delhi",4.0,450,3.7,5073,https://www.zomato.com/ncr/jhakkas-pav-bhaji-mumbai-wala-rohini-new-delhi,"Property 180, Pocket 15, Block E, Sector 8, Near Shiv Chowk, Rohini, New Delhi",9.19251E+11,28.7052946,77.12198898,"Chicken Shawarama, Malai Chaap Roll, Panneer Butter Masala, Shawarma, Afghani Chicken, Kabab",Low(<600)
The Delhi Munchery,"North Indian, Mughlai, Lebanese, Fast Food",500," Mayur Vihar Phase 1, New Delhi",4.0,286,3.9,5053,https://www.zomato.com/ncr/the-delhi-munchery-mayur-vihar-new-delhi,"G-4 - G-5, Sikka Plaza, Gate 1, Opposite Anand Lok Society, Mayur Vihar Phase 1, New Delhi",9.19999E+11,28.60690157,77.29043406,"Low Price, Polite Staff, Seating, Food Quality, Value for Money",Low(<600)
Madras Cafe,"South Indian, Chinese",300," Rohini, New Delhi",4.0,377,3.8,11100,https://www.zomato.com/ncr/madras-cafe-1-rohini-new-delhi,"D 12/231, Near Garg Sweets, Sector 7, Rohini, New Delhi",9.1991E+11,28.71101531,77.12022007,"Chocolate Hazelnut Cake, Mango Pastry, Vanilla Cake, Fresh Fruit Cake, Chocolate Truffle, Red Velvet",Low(<600)
Garage Inc.,"Continental, American, Italian, Salad",2400," Hauz Khas Village, New Delhi",4.0,1121,3.9,341,https://www.zomato.com/ncr/garage-inc-hauz-khas-village-new-delhi,"30, 2nd Floor, Powerhouse Buliding, Hauz Khas Village, New Delhi",9.19911E+11,28.55393984,77.19480325,"Rooftop Ambience, Cozy, Cafe, Courteous Staff, Decor, Portion Size",High(>1000)
